Runtime (microseconds), 73824953
Generation, Fitness Island 0, Fitness Island 1, Fitness Island 2, Fitness Island 3, Fitness Island 4, Fitness Island 5, Fitness Island 6, Fitness Island 7
0, 8330, 8299, 8299, 8294, 8300, 8323, 8309, 8301, 
1, 8359, 8315, 8333, 8334, 8336, 8336, 8319, 8337, 
2, 8368, 8314, 8374, 8337, 8328, 8368, 8385, 8354, 
3, 8393, 8330, 8399, 8386, 8334, 8411, 8383, 8364, 
4, 8409, 8359, 8408, 8394, 8345, 8411, 8390, 8415, 
5, 8451, 8410, 8439, 8409, 8353, 8411, 8390, 8432, 
6, 8452, 8439, 8438, 8446, 8387, 8500, 8441, 8431, 
7, 8476, 8446, 8438, 8484, 8396, 8487, 8441, 8432, 
8, 8497, 8471, 8439, 8484, 8417, 8487, 8500, 8442, 
9, 8496, 8495, 8442, 8486, 8457, 8488, 8489, 8442, 
10, 8522, 8498, 8443, 8497, 8457, 8503, 8507, 8468, 
11, 8543, 8516, 8445, 8505, 8478, 8497, 8511, 8523, 
12, 8525, 8519, 8516, 8518, 8497, 8498, 8510, 8525, 
13, 8527, 8520, 8517, 8525, 8536, 8507, 8511, 8513, 
14, 8528, 8521, 8527, 8554, 8544, 8513, 8513, 8535, 
15, 8545, 8534, 8527, 8554, 8573, 8543, 8513, 8535, 
16, 8545, 8535, 8532, 8557, 8573, 8565, 8515, 8533, 
17, 8547, 8538, 8541, 8566, 8578, 8576, 8549, 8553, 
18, 8560, 8557, 8570, 8587, 8579, 8575, 8542, 8554, 
19, 8558, 8552, 8560, 8589, 8582, 8589, 8558, 8554, 
20, 8571, 8542, 8563, 8599, 8582, 8592, 8602, 8575, 
21, 8600, 8543, 8577, 8601, 8603, 8590, 8606, 8574, 
22, 8625, 8544, 8591, 8601, 8630, 8593, 8623, 8588, 
23, 8627, 8547, 8591, 8602, 8629, 8599, 8623, 8603, 
24, 8630, 8549, 8592, 8603, 8629, 8623, 8626, 8618, 
25, 8632, 8607, 8599, 8604, 8629, 8625, 8628, 8630, 
26, 8651, 8610, 8626, 8606, 8630, 8627, 8629, 8632, 
27, 8653, 8611, 8632, 8626, 8630, 8632, 8631, 8632, 
28, 8654, 8645, 8651, 8645, 8631, 8632, 8631, 8646, 
29, 8655, 8632, 8653, 8646, 8633, 8641, 8633, 8646, 
30, 8663, 8663, 8657, 8649, 8633, 8643, 8635, 8650, 
