Runtime (microseconds), 93345
Generation, Fitness Island 0, Fitness Island 1, Fitness Island 2, Fitness Island 3, Fitness Island 4, Fitness Island 5, Fitness Island 6, Fitness Island 7
0, 282, 267, 269, 269, 274, 288, 278, 272, 
1, 293, 268, 281, 273, 281, 280, 284, 275, 
2, 294, 271, 293, 280, 286, 282, 292, 279, 
3, 294, 273, 293, 283, 287, 291, 294, 287, 
4, 296, 277, 296, 291, 291, 289, 293, 288, 
5, 298, 297, 297, 296, 294, 291, 296, 287, 
6, 299, 296, 301, 298, 297, 293, 298, 291, 
7, 300, 297, 301, 308, 303, 294, 298, 291, 
8, 301, 301, 304, 309, 303, 298, 299, 296, 
9, 306, 300, 304, 312, 306, 302, 302, 302, 
10, 305, 304, 305, 312, 310, 306, 303, 306, 
11, 306, 302, 311, 315, 311, 310, 303, 310, 
12, 309, 305, 314, 318, 315, 316, 306, 310, 
13, 314, 306, 321, 319, 313, 316, 307, 313, 
14, 315, 311, 322, 320, 315, 319, 311, 318, 
15, 316, 313, 323, 321, 317, 319, 319, 321, 
16, 317, 321, 325, 322, 320, 320, 323, 321, 
17, 325, 325, 326, 323, 329, 322, 325, 322, 
18, 332, 325, 326, 323, 330, 323, 326, 326, 
19, 331, 326, 328, 328, 332, 330, 328, 331, 
20, 333, 331, 328, 327, 334, 330, 332, 333, 
21, 333, 338, 329, 327, 335, 334, 335, 335, 
22, 334, 335, 334, 333, 336, 336, 336, 336, 
23, 334, 343, 335, 333, 337, 337, 336, 339, 
24, 336, 343, 336, 334, 338, 338, 338, 339, 
25, 340, 344, 339, 336, 338, 339, 340, 339, 
26, 338, 343, 339, 337, 337, 340, 343, 341, 
27, 339, 344, 345, 339, 338, 343, 344, 344, 
28, 341, 346, 345, 339, 341, 348, 344, 349, 
29, 343, 346, 348, 340, 347, 350, 346, 349, 
30, 343, 346, 350, 340, 350, 352, 349, 354, 
31, 343, 348, 354, 342, 351, 352, 350, 356, 
32, 346, 350, 353, 349, 352, 353, 355, 357, 
33, 346, 350, 356, 352, 354, 353, 356, 357, 
34, 354, 351, 357, 352, 355, 354, 358, 358, 
35, 355, 352, 357, 356, 359, 354, 360, 357, 
36, 359, 356, 358, 357, 362, 355, 360, 358, 
37, 363, 353, 360, 360, 364, 359, 360, 358, 
38, 363, 354, 360, 362, 364, 360, 359, 359, 
39, 364, 357, 361, 360, 365, 360, 364, 360, 
40, 365, 358, 363, 363, 371, 362, 370, 361, 
41, 366, 359, 368, 366, 372, 363, 369, 363, 
42, 367, 360, 368, 366, 369, 365, 374, 367, 
43, 366, 364, 373, 367, 370, 368, 374, 368, 
44, 368, 366, 373, 367, 374, 370, 378, 368, 
45, 370, 367, 374, 369, 373, 368, 379, 369, 
46, 369, 371, 377, 372, 374, 373, 379, 370, 
47, 370, 375, 379, 375, 374, 372, 379, 371, 
48, 371, 375, 383, 377, 375, 373, 381, 378, 
49, 372, 374, 385, 380, 375, 375, 381, 378, 
50, 373, 375, 385, 383, 379, 381, 381, 379, 
51, 378, 380, 386, 382, 382, 383, 384, 380, 
52, 381, 381, 386, 386, 383, 382, 383, 382, 
53, 382, 383, 389, 387, 383, 382, 385, 383, 
54, 384, 385, 391, 389, 383, 384, 388, 386, 
