Runtime (microseconds), 95198
Generation, Fitness Island 0, Fitness Island 1, Fitness Island 2, Fitness Island 3, Fitness Island 4, Fitness Island 5, Fitness Island 6, Fitness Island 7
0, 279, 280, 268, 270, 278, 281, 277, 275, 
1, 282, 282, 277, 276, 282, 285, 279, 271, 
2, 282, 285, 277, 282, 286, 298, 280, 281, 
3, 289, 287, 283, 290, 288, 301, 297, 289, 
4, 289, 295, 285, 295, 291, 300, 297, 293, 
5, 299, 292, 285, 294, 292, 304, 298, 294, 
6, 302, 294, 297, 296, 292, 305, 300, 292, 
7, 304, 295, 299, 296, 302, 313, 300, 295, 
8, 308, 298, 300, 305, 302, 314, 303, 300, 
9, 308, 304, 302, 309, 308, 315, 304, 304, 
10, 308, 305, 311, 311, 307, 316, 306, 304, 
11, 309, 308, 311, 312, 308, 326, 308, 304, 
12, 309, 309, 311, 312, 310, 327, 310, 309, 
13, 311, 313, 324, 313, 311, 326, 311, 312, 
14, 312, 316, 322, 314, 312, 329, 312, 317, 
15, 313, 320, 321, 316, 314, 331, 312, 314, 
16, 315, 322, 321, 321, 315, 331, 314, 319, 
17, 317, 322, 323, 329, 321, 333, 316, 330, 
18, 329, 323, 325, 329, 324, 334, 316, 334, 
19, 331, 323, 330, 331, 333, 336, 318, 334, 
20, 330, 324, 330, 331, 330, 337, 318, 335, 
21, 332, 328, 335, 331, 333, 338, 337, 334, 
22, 333, 335, 339, 333, 333, 339, 337, 337, 
23, 337, 334, 340, 333, 336, 340, 338, 339, 
24, 339, 336, 340, 337, 335, 341, 338, 342, 
25, 340, 341, 342, 338, 339, 342, 339, 340, 
26, 341, 340, 342, 339, 342, 343, 342, 342, 
27, 344, 341, 344, 344, 345, 345, 342, 343, 
28, 346, 346, 344, 346, 345, 346, 342, 344, 
29, 347, 347, 345, 347, 347, 345, 343, 346, 
30, 349, 348, 346, 347, 348, 350, 345, 346, 
31, 350, 348, 346, 350, 349, 350, 345, 352, 
32, 351, 349, 349, 352, 350, 350, 348, 353, 
33, 354, 350, 353, 353, 351, 351, 351, 354, 
34, 353, 352, 355, 356, 353, 355, 351, 356, 
35, 358, 351, 360, 354, 355, 357, 352, 360, 
36, 358, 353, 356, 354, 356, 359, 353, 361, 
37, 359, 355, 359, 354, 358, 359, 354, 360, 
38, 359, 357, 361, 359, 359, 361, 361, 359, 
39, 360, 359, 363, 364, 360, 363, 364, 362, 
