Runtime (microseconds), 3767217
Generation, Fitness Island 0, Fitness Island 1, Fitness Island 2, Fitness Island 3
0, 538, 538, 540, 550, 
1, 548, 545, 548, 548, 
2, 553, 557, 558, 558, 
3, 558, 558, 556, 556, 
4, 568, 559, 568, 559, 
5, 568, 569, 574, 566, 
6, 581, 575, 578, 567, 
7, 582, 581, 587, 587, 
8, 587, 583, 583, 583, 
9, 588, 588, 588, 591, 
10, 589, 589, 589, 593, 
11, 591, 591, 593, 593, 
12, 592, 594, 594, 594, 
13, 593, 593, 593, 597, 
14, 595, 595, 594, 594, 
15, 596, 596, 596, 596, 
16, 599, 599, 599, 598, 
17, 600, 600, 599, 601, 
18, 601, 601, 601, 603, 
19, 604, 604, 604, 603, 
20, 606, 606, 606, 606, 
21, 607, 606, 607, 607, 
22, 609, 609, 609, 609, 
23, 609, 609, 609, 607, 
24, 610, 610, 610, 610, 
25, 611, 611, 611, 611, 
26, 611, 611, 611, 615, 
27, 614, 613, 613, 617, 
28, 615, 614, 615, 617, 
29, 617, 617, 617, 617, 
30, 618, 618, 618, 618, 
31, 619, 617, 619, 620, 
32, 621, 619, 619, 619, 
33, 621, 621, 621, 621, 
34, 624, 624, 624, 624, 
35, 625, 625, 625, 625, 
36, 626, 626, 626, 626, 
37, 627, 627, 629, 629, 
38, 628, 628, 628, 628, 
39, 632, 630, 630, 632, 
40, 631, 631, 631, 631, 
41, 632, 632, 633, 633, 
42, 635, 634, 634, 635, 
43, 637, 637, 637, 635, 
44, 639, 639, 639, 639, 
45, 639, 640, 640, 640, 
46, 641, 641, 639, 641, 
47, 642, 642, 642, 641, 
48, 645, 645, 644, 644, 
49, 646, 646, 645, 645, 
50, 649, 649, 649, 647, 
51, 651, 651, 651, 650, 
52, 652, 651, 652, 652, 
53, 652, 651, 652, 652, 
54, 653, 652, 654, 654, 
55, 654, 653, 655, 654, 
56, 655, 655, 656, 655, 
57, 656, 656, 656, 656, 
58, 658, 658, 657, 656, 
59, 660, 659, 660, 660, 
60, 661, 661, 661, 661, 
61, 661, 661, 661, 663, 
62, 663, 663, 662, 663, 
63, 665, 664, 664, 664, 
64, 666, 666, 665, 665, 
65, 667, 667, 667, 667, 
66, 668, 668, 668, 668, 
67, 669, 669, 669, 669, 
68, 670, 670, 671, 669, 
69, 671, 671, 671, 672, 
70, 673, 673, 673, 673, 
71, 675, 675, 675, 675, 
72, 675, 674, 676, 676, 
73, 677, 677, 677, 675, 
74, 679, 679, 679, 678, 
75, 680, 679, 679, 679, 
76, 680, 681, 681, 681, 
77, 681, 683, 680, 681, 
78, 682, 683, 683, 683, 
79, 684, 684, 684, 684, 
80, 684, 684, 685, 685, 
81, 686, 685, 686, 686, 
82, 688, 688, 687, 689, 
83, 688, 688, 688, 688, 
84, 690, 689, 689, 689, 
85, 692, 691, 692, 691, 
86, 695, 695, 695, 695, 
87, 696, 696, 696, 696, 
88, 698, 698, 699, 699, 
89, 699, 699, 699, 701, 
90, 700, 700, 700, 700, 
91, 703, 701, 701, 700, 
92, 704, 704, 704, 704, 
93, 704, 704, 704, 704, 
94, 706, 706, 705, 705, 
95, 707, 705, 706, 707, 
96, 708, 708, 708, 708, 
97, 710, 710, 710, 710, 
98, 711, 710, 709, 710, 
99, 711, 711, 711, 711, 
100, 711, 712, 712, 712, 
101, 713, 712, 712, 712, 
102, 714, 714, 714, 714, 
103, 715, 714, 714, 713, 
104, 716, 716, 716, 717, 
105, 717, 717, 719, 719, 
106, 719, 719, 720, 720, 
107, 720, 720, 720, 720, 
108, 721, 720, 720, 720, 
109, 723, 723, 722, 721, 
110, 723, 723, 723, 722, 
111, 725, 725, 723, 723, 
112, 726, 726, 724, 724, 
113, 727, 726, 726, 725, 
114, 729, 726, 725, 729, 
115, 729, 729, 728, 729, 
116, 730, 729, 729, 730, 
117, 731, 731, 731, 730, 
118, 733, 731, 733, 733, 
119, 733, 733, 733, 732, 
120, 734, 734, 732, 734, 
121, 736, 734, 736, 736, 
122, 738, 740, 740, 740, 
123, 739, 739, 739, 739, 
124, 741, 739, 739, 740, 
125, 740, 742, 742, 742, 
126, 742, 742, 742, 741, 
127, 744, 742, 744, 742, 
128, 745, 745, 745, 745, 
129, 746, 746, 746, 746, 
130, 747, 747, 747, 747, 
131, 748, 748, 748, 747, 
132, 748, 747, 747, 749, 
133, 748, 747, 748, 747, 
134, 749, 748, 748, 749, 
135, 750, 750, 750, 750, 
136, 752, 752, 752, 751, 
137, 753, 753, 753, 753, 
138, 754, 754, 754, 754, 
139, 757, 754, 755, 755, 
140, 757, 757, 757, 758, 
141, 759, 758, 759, 759, 
142, 758, 758, 759, 760, 
143, 760, 760, 759, 760, 
144, 760, 760, 760, 761, 
145, 762, 762, 762, 762, 
146, 763, 762, 762, 762, 
147, 764, 764, 765, 764, 
148, 765, 765, 766, 764, 
149, 769, 769, 769, 769, 
150, 766, 766, 766, 767, 
151, 768, 767, 767, 767, 
152, 768, 768, 768, 768, 
153, 768, 768, 768, 768, 
154, 770, 770, 770, 770, 
155, 771, 770, 771, 770, 
156, 773, 773, 773, 773, 
157, 774, 772, 773, 775, 
158, 775, 776, 776, 776, 
159, 777, 776, 776, 777, 
160, 777, 777, 777, 777, 
161, 778, 778, 777, 779, 
162, 778, 778, 779, 779, 
163, 780, 780, 779, 779, 
164, 781, 781, 781, 781, 
165, 782, 782, 783, 783, 
166, 784, 784, 784, 782, 
167, 785, 785, 785, 785, 
168, 786, 788, 788, 788, 
169, 786, 786, 786, 786, 
170, 788, 786, 786, 788, 
171, 789, 789, 789, 789, 
172, 789, 789, 789, 790, 
173, 790, 790, 790, 790, 
174, 792, 792, 791, 791, 
175, 793, 793, 792, 791, 
176, 794, 794, 793, 793, 
177, 794, 796, 795, 795, 
178, 795, 795, 795, 796, 
179, 796, 796, 796, 796, 
180, 797, 796, 797, 798, 
181, 798, 798, 798, 796, 
182, 799, 799, 799, 799, 
183, 800, 800, 800, 800, 
184, 803, 803, 803, 803, 
185, 804, 804, 804, 804, 
186, 804, 804, 804, 804, 
187, 804, 805, 805, 805, 
188, 806, 805, 806, 805, 
189, 809, 809, 809, 809, 
190, 807, 807, 808, 810, 
191, 809, 809, 808, 808, 
192, 810, 810, 810, 810, 
193, 812, 812, 812, 812, 
194, 812, 812, 813, 813, 
195, 812, 812, 813, 814, 
196, 814, 814, 814, 814, 
197, 814, 815, 815, 815, 
198, 814, 814, 816, 816, 
199, 815, 815, 815, 814, 
200, 815, 817, 815, 817, 
201, 817, 817, 817, 817, 
202, 818, 818, 816, 817, 
203, 819, 819, 818, 818, 
204, 820, 820, 818, 818, 
205, 821, 821, 821, 821, 
206, 822, 822, 822, 822, 
207, 822, 822, 822, 821, 
208, 823, 823, 823, 822, 
209, 824, 824, 824, 824, 
210, 824, 824, 826, 826, 
211, 824, 824, 824, 825, 
212, 825, 825, 825, 826, 
213, 827, 827, 827, 827, 
214, 828, 828, 828, 827, 
215, 829, 829, 829, 828, 
216, 831, 831, 831, 829, 
217, 830, 831, 831, 831, 
218, 830, 831, 833, 832, 
219, 832, 832, 833, 832, 
220, 833, 833, 834, 834, 
221, 833, 833, 833, 835, 
222, 837, 837, 837, 837, 
223, 838, 839, 839, 836, 
224, 838, 838, 838, 838, 
225, 838, 837, 838, 839, 
226, 839, 839, 839, 838, 
227, 839, 841, 841, 841, 
228, 841, 841, 841, 842, 
229, 841, 841, 841, 842, 
230, 843, 843, 842, 842, 
231, 843, 842, 843, 843, 
232, 844, 843, 843, 844, 
233, 844, 844, 844, 844, 
234, 844, 844, 844, 844, 
235, 845, 845, 845, 845, 
236, 846, 845, 846, 845, 
237, 846, 846, 847, 847, 
238, 846, 846, 846, 847, 
239, 848, 848, 847, 847, 
240, 848, 849, 848, 848, 
241, 849, 849, 848, 848, 
242, 851, 851, 851, 851, 
243, 852, 852, 852, 852, 
244, 852, 852, 852, 852, 
245, 853, 853, 853, 853, 
246, 855, 853, 855, 854, 
247, 855, 854, 854, 854, 
248, 855, 855, 855, 855, 
249, 856, 856, 854, 855, 
250, 857, 857, 856, 856, 
251, 857, 857, 856, 857, 
252, 857, 857, 858, 858, 
253, 858, 857, 857, 858, 
254, 859, 859, 859, 859, 
255, 860, 859, 860, 860, 
256, 862, 862, 861, 861, 
257, 861, 862, 862, 862, 
258, 861, 861, 861, 863, 
259, 862, 862, 862, 861, 
260, 862, 863, 863, 863, 
261, 863, 863, 864, 863, 
262, 864, 864, 864, 864, 
263, 865, 864, 864, 864, 
264, 865, 865, 864, 864, 
265, 866, 866, 866, 866, 
266, 867, 867, 866, 866, 
267, 869, 869, 867, 867, 
268, 871, 869, 869, 869, 
269, 871, 871, 870, 870, 
270, 870, 870, 870, 870, 
271, 870, 870, 870, 870, 
272, 871, 871, 871, 871, 
273, 871, 872, 872, 872, 
274, 871, 872, 872, 872, 
275, 872, 872, 873, 873, 
276, 873, 873, 873, 873, 
277, 875, 875, 875, 875, 
278, 874, 874, 874, 875, 
279, 876, 875, 875, 875, 
280, 876, 876, 875, 876, 
281, 877, 877, 877, 877, 
282, 877, 877, 877, 876, 
283, 880, 880, 878, 878, 
284, 880, 880, 880, 880, 
285, 881, 881, 882, 882, 
286, 883, 883, 884, 883, 
287, 882, 882, 882, 883, 
288, 884, 884, 884, 882, 
289, 883, 884, 884, 884, 
290, 884, 884, 884, 884, 
291, 884, 884, 885, 885, 
292, 885, 885, 886, 886, 
293, 887, 887, 887, 886, 
294, 887, 886, 886, 886, 
295, 886, 886, 888, 887, 
296, 887, 887, 887, 888, 
297, 888, 887, 888, 888, 
298, 889, 888, 888, 888, 
299, 889, 889, 889, 889, 
300, 889, 889, 889, 889, 
301, 890, 890, 890, 891, 
302, 891, 890, 890, 890, 
303, 891, 891, 891, 891, 
304, 892, 892, 892, 891, 
305, 892, 892, 892, 892, 
306, 893, 892, 892, 892, 
307, 893, 893, 893, 893, 
308, 894, 895, 893, 894, 
309, 895, 895, 895, 895, 
310, 895, 895, 896, 896, 
311, 896, 896, 896, 896, 
312, 897, 896, 896, 896, 
313, 897, 897, 897, 897, 
314, 898, 897, 898, 898, 
315, 898, 898, 898, 897, 
316, 899, 898, 899, 899, 
317, 899, 898, 898, 900, 
318, 900, 899, 898, 898, 
319, 900, 900, 899, 900, 
320, 900, 900, 899, 900, 
321, 900, 900, 900, 901, 
322, 901, 901, 901, 900, 
323, 901, 901, 901, 901, 
324, 902, 902, 902, 902, 
325, 903, 903, 903, 903, 
326, 905, 905, 905, 904, 
327, 907, 905, 905, 907, 
328, 906, 906, 906, 906, 
329, 908, 907, 907, 906, 
330, 908, 908, 908, 908, 
331, 909, 908, 909, 910, 
332, 909, 909, 909, 909, 
333, 910, 909, 909, 909, 
334, 910, 910, 910, 910, 
335, 911, 911, 910, 911, 
336, 911, 912, 911, 911, 
337, 911, 911, 911, 911, 
338, 913, 913, 913, 912, 
339, 914, 913, 913, 913, 
340, 913, 913, 913, 913, 
341, 915, 913, 913, 913, 
342, 916, 916, 914, 914, 
343, 916, 916, 916, 916, 
344, 916, 916, 916, 916, 
345, 917, 916, 916, 916, 
346, 916, 916, 917, 917, 
347, 919, 917, 916, 918, 
348, 918, 918, 920, 920, 
349, 918, 918, 918, 920, 
350, 920, 922, 919, 919, 
351, 920, 920, 921, 921, 
352, 921, 920, 921, 921, 
353, 921, 921, 921, 920, 
354, 922, 922, 922, 922, 
355, 922, 922, 921, 921, 
356, 922, 922, 921, 921, 
357, 923, 922, 922, 922, 
358, 925, 923, 923, 925, 
359, 924, 924, 924, 924, 
360, 926, 925, 924, 924, 
361, 926, 926, 926, 925, 
362, 926, 926, 926, 927, 
363, 927, 927, 926, 927, 
364, 927, 927, 927, 927, 
365, 928, 927, 928, 928, 
366, 928, 928, 928, 927, 
367, 928, 928, 929, 928, 
368, 928, 927, 928, 929, 
369, 930, 930, 930, 930, 
370, 929, 930, 931, 929, 
371, 929, 929, 930, 930, 
372, 929, 929, 929, 929, 
373, 930, 929, 931, 931, 
374, 930, 930, 929, 929, 
375, 930, 931, 931, 931, 
376, 931, 930, 930, 931, 
377, 932, 931, 931, 931, 
378, 933, 933, 933, 931, 
379, 935, 934, 934, 934, 
380, 936, 936, 936, 936, 
381, 936, 936, 936, 936, 
382, 938, 938, 938, 936, 
383, 938, 938, 937, 937, 
384, 937, 938, 938, 937, 
385, 938, 938, 938, 938, 
386, 938, 938, 937, 937, 
387, 938, 937, 938, 938, 
388, 938, 938, 938, 939, 
389, 940, 938, 938, 940, 
390, 939, 939, 939, 940, 
391, 940, 939, 939, 939, 
392, 940, 940, 940, 940, 
393, 940, 940, 940, 940, 
394, 940, 940, 941, 941, 
395, 941, 941, 941, 941, 
396, 942, 942, 941, 941, 
397, 944, 944, 944, 944, 
398, 944, 944, 944, 944, 
399, 945, 946, 946, 946, 
400, 946, 943, 944, 945, 
401, 944, 944, 944, 945, 
402, 944, 944, 944, 944, 
403, 945, 945, 945, 946, 
404, 945, 943, 943, 945, 
405, 945, 945, 945, 945, 
406, 947, 946, 945, 945, 
407, 947, 947, 947, 947, 
408, 947, 947, 947, 947, 
409, 948, 948, 948, 948, 
410, 948, 947, 948, 948, 
411, 949, 949, 949, 948, 
412, 950, 950, 950, 950, 
413, 950, 950, 950, 949, 
414, 950, 951, 951, 951, 
415, 950, 950, 950, 951, 
416, 950, 950, 950, 951, 
417, 950, 950, 950, 950, 
418, 951, 950, 950, 950, 
419, 951, 951, 951, 950, 
420, 952, 952, 952, 952, 
421, 954, 954, 954, 953, 
422, 955, 953, 954, 954, 
423, 955, 955, 955, 954, 
424, 955, 955, 955, 955, 
425, 955, 955, 955, 955, 
426, 957, 957, 957, 955, 
427, 956, 956, 956, 956, 
428, 957, 957, 956, 956, 
429, 959, 957, 959, 959, 
430, 959, 959, 958, 958, 
431, 959, 959, 959, 959, 
432, 960, 959, 959, 959, 
433, 960, 960, 960, 960, 
434, 961, 960, 960, 960, 
435, 961, 960, 960, 960, 
436, 961, 961, 961, 961, 
437, 962, 962, 962, 962, 
438, 962, 962, 962, 962, 
439, 962, 962, 962, 962, 
440, 963, 962, 963, 963, 
441, 964, 964, 964, 963, 
442, 964, 965, 965, 965, 
