Runtime (microseconds), 1422069
Generation, Fitness Island 0, Fitness Island 1, Fitness Island 2, Fitness Island 3
0, 552, 542, 543, 548, 
1, 551, 551, 537, 557, 
2, 572, 572, 560, 566, 
3, 561, 575, 575, 566, 
4, 572, 573, 575, 575, 
5, 573, 573, 576, 575, 
6, 577, 574, 579, 581, 
7, 576, 576, 580, 581, 
8, 583, 585, 585, 583, 
9, 587, 587, 587, 585, 
10, 588, 588, 589, 588, 
11, 593, 590, 590, 590, 
12, 593, 593, 593, 593, 
13, 594, 592, 595, 595, 
14, 596, 594, 597, 598, 
15, 597, 596, 599, 596, 
16, 598, 597, 602, 599, 
17, 603, 600, 600, 601, 
18, 604, 604, 602, 601, 
19, 605, 605, 604, 604, 
20, 606, 605, 608, 609, 
21, 608, 606, 610, 606, 
22, 607, 608, 610, 610, 
23, 609, 610, 609, 611, 
24, 611, 611, 611, 610, 
25, 615, 612, 615, 615, 
26, 615, 615, 616, 614, 
27, 621, 621, 616, 616, 
28, 620, 620, 619, 617, 
29, 622, 622, 622, 621, 
30, 623, 623, 627, 627, 
31, 624, 624, 625, 629, 
32, 625, 625, 626, 629, 
33, 627, 627, 627, 627, 
34, 628, 628, 628, 628, 
35, 630, 630, 630, 630, 
36, 630, 631, 630, 632, 
37, 631, 633, 633, 635, 
38, 635, 632, 634, 637, 
39, 637, 637, 637, 637, 
40, 638, 638, 637, 639, 
41, 640, 640, 640, 640, 
42, 642, 642, 640, 640, 
43, 643, 644, 642, 642, 
44, 644, 644, 643, 645, 
45, 646, 646, 645, 646, 
46, 648, 646, 647, 646, 
47, 648, 647, 648, 648, 
48, 649, 650, 649, 648, 
49, 650, 651, 651, 650, 
50, 653, 653, 653, 653, 
51, 653, 653, 653, 653, 
52, 655, 654, 654, 654, 
53, 656, 655, 655, 656, 
54, 657, 657, 657, 656, 
55, 658, 659, 659, 659, 
56, 660, 659, 661, 661, 
57, 662, 661, 661, 663, 
58, 665, 665, 665, 664, 
59, 665, 664, 664, 664, 
60, 667, 665, 665, 666, 
61, 668, 668, 670, 669, 
62, 670, 670, 670, 671, 
63, 672, 672, 669, 671, 
64, 673, 673, 675, 673, 
65, 674, 675, 675, 675, 
66, 675, 675, 677, 676, 
67, 678, 678, 678, 678, 
68, 680, 680, 679, 680, 
69, 680, 680, 680, 680, 
70, 682, 681, 681, 684, 
71, 685, 686, 686, 681, 
72, 684, 683, 686, 685, 
73, 686, 686, 686, 686, 
74, 687, 687, 687, 689, 
75, 689, 690, 690, 690, 
76, 691, 691, 691, 691, 
77, 691, 692, 692, 692, 
78, 692, 692, 693, 692, 
79, 693, 694, 694, 694, 
80, 694, 694, 694, 694, 
81, 695, 694, 698, 695, 
82, 697, 697, 697, 697, 
83, 698, 698, 697, 698, 
84, 698, 698, 698, 698, 
